source,target,relation,description,source_chunk
Rosanne Cash,Ariola,recorded under,Rosanne Cash recorded her debut album under Ariola,unknown_0
Rosanne Cash,Columbia Records,signed with,Rosanne Cash signed with Columbia Records in 1979,unknown_0
Rosanne Cash,Right or Wrong,released,Rosanne Cash's second studio album was released in 1979,unknown_0
Rosanne Cash,Seven Year Ache,released,Rosanne Cash's third studio album was released in 1981,unknown_0
Rosanne Cash,Somewhere in the Stars,released,Rosanne Cash's fourth studio album was released in 1982,unknown_0
Rosanne Cash,Rhythm & Romance,released,Rosanne Cash's fifth studio album was released in 1985,unknown_0
Rosanne Cash,King's Record Shop,released,Rosanne Cash's sixth studio album was released in 1987,unknown_0
Rosanne Cash,I Don't Know Why You Don't Want Me,released,Rosanne Cash's single 'I Don't Know Why You Don't Want Me' was released in 1985,unknown_0
Rosanne Cash,Grammy Award,won,Rosanne Cash won a Grammy Award for Best Female Country Vocal Performance in 1986,unknown_0
Rosanne Cash,Tennessee Flat-Top Box,covered,Rosanne Cash covered Johnny Cash's song 'Tennessee Flat-Top Box',unknown_0
Train,pop rock,genre,Train is a pop rock band,unknown_0
Train,Brendan O'Brien,partner,Brendan O'Brien produced Train's music,unknown_0
Train,Aware Records,record label,Train signed with Aware Records,unknown_0
Train,Columbia Records,record label,Train signed with Columbia Records,unknown_0
Train,Recording Industry Association of America (RIAA),certification,Train's albums were certified by the RIAA,unknown_0
Train,Grammy Awards,award,Train won a Grammy Award,unknown_0
Train,Billboard,chart,Train's albums charted on Billboard,unknown_0
Train,album,release,Train released several albums,unknown_0
Train,single,release,Train released several singles,unknown_0
Train,award,recipient,Train received an award,unknown_0
Train,achievement,accomplishment,Train achieved success,unknown_0
Train,recognition,acknowledgment,Train received recognition,unknown_0
Train,value,import,,unknown_0
I Love You Always Forever,Donna Lewis,performed_by,Donna Lewis performed the song,unknown_0
I Love You Always Forever,Now in a Minute,released_on,song was released on the album,unknown_0
I Love You Always Forever,H. E. Bates,inspired_by,song was inspired by the novel,unknown_0
I Love You Always Forever,UK Singles Chart,peaked_at,song peaked at number five on the chart,unknown_0
I Love You Always Forever,Australia,peaked_at,song peaked at number two on the chart,unknown_0
I Love You Always Forever,Betty Who,covered_by,song was covered by Betty Who,unknown_0
I Love You Always Forever,Macarena,kept_from_number_one_by,song was kept from number one by Macarena,unknown_0
I Love You Always Forever,Billboard Hot 100,peaked_at,song peaked at number two on the chart,unknown_0
I Love You Always Forever,Billboard Top 40 Mainstream,peaked_at,song peaked at number one on the chart,unknown_0
I Love You Always Forever,ARIA Singles Chart,peaked_at,song peaked at number two on the chart,unknown_0
1990s,I Love You Always Forever,part_of,song was part of the decade,unknown_0
The Definition Of...,Fantasia,created_by,Fantasia created the album,unknown_0
The Definition Of...,Album,instance_of,The Definition Of... is an album,unknown_0
The Definition Of...,Music,instance_of,The Definition Of... is music,unknown_0
Ron Fair,The Definition Of...,produced,Ron Fair produced the album,unknown_0
Brian Kennedy,The Definition Of...,produced,Brian Kennedy produced the album,unknown_0
Neff-U,The Definition Of...,produced,Neff-U produced the album,unknown_0
Jerome 'J-Roc' Harmon,The Definition Of...,produced,Jerome 'J-Roc' Harmon produced the album,unknown_0
GRADES,The Definition Of...,produced,GRADES produced the album,unknown_0
Billboard,The Definition Of...,charted,The Definition Of... charted on Billboard,unknown_0
Adult R&B Songs,The Definition Of...,charted,The Definition Of... charted on Adult R&B Songs,unknown_0
US,The Definition Of...,released_in,The Definition Of... was released in the US,unknown_0
Apple Music,The Definition Of...,streamed_on,The Definition Of... was streamed on Apple Music,unknown_0
Anthony Hamilton,The Definition Of...,toured_with,Anthony Hamilton toured with Fantasia for The Definition Of...,unknown_0
The Definition Of... Tour,The Definition Of...,promoted,The Definition Of... Tour promoted the album,unknown_0
When I Met You,The Definition Of...,single_from,When I Met You was a single from The Definition Of...,unknown_0
Thomas Rhett,album,released,Thomas Rhett has released multiple albums,unknown_0
album,single,contains,an album contains multiple singles,unknown_0
Thomas Rhett,singer,is,Thomas Rhett is a singer,unknown_0
Thomas Rhett,songwriter,is,Thomas Rhett is a songwriter,unknown_0
Billboard,chart,publishes,Billboard publishes music charts,unknown_0
RIAA,certification,awards,RIAA awards certifications to music tracks,unknown_0
Thomas Rhett,RIAA,has,Thomas Rhett has received certifications from RIAA,unknown_0
Trisha Yearwood,country music,associated_with,Trisha Yearwood is an American country artist,unknown_0
Trisha Yearwood,album,released,Trisha Yearwood has released multiple studio albums,unknown_0
Trisha Yearwood,single,released,Trisha Yearwood has released multiple singles,unknown_0
self-titled debut album,Trisha Yearwood,created_by,Trisha Yearwood's self-titled debut album was released in 1991,unknown_0
Billboard,Trisha Yearwood,featured_on,Trisha Yearwood's music has been featured on Billboard charts,unknown_0
Recording Industry Association of America,Trisha Yearwood,certified_by,Trisha Yearwood's albums have been certified by the Recording Industry Association of America,unknown_0
Hearts in Armor,Trisha Yearwood,created_by,Trisha Yearwood's second studio album was Hearts in Armor,unknown_0
The Song Remembers When,Trisha Yearwood,created_by,Trisha Yearwood's third studio album was The Song Remembers When,unknown_0
Thinkin' About You,Trisha Yearwood,created_by,Trisha Yearwood's fourth studio album was Thinkin' About You,unknown_0
Everybody Knows,Trisha Yearwood,created_by,Trisha Yearwood's sixth studio album was Everybody Knows,unknown_0
Believe Me Baby (I Lied),Trisha Yearwood,created_by,Trisha Yearwood's fourth number one single was Believe Me Baby (I Lied),unknown_0
Album,Chart,peaked,The album reached the top of the chart,unknown_0
Album,Billboard,published,The album was published in Billboard magazine,unknown_0
Compilation,Album,is_a,The compilation is a type of album,unknown_0
Stand up For Love,Single,is_a,Stand up For Love is a single,unknown_0
Check on It,Single,is_a,Check on It is a single,unknown_0
Group,Album,created,The group created the album,unknown_0
Album,Music Industry,part_of,The album is part of the music industry,unknown_0
Dirt,Alice in Chains,associated_with,Album released by the band,unknown_0
Dirt,Album,instance_of,Type of music release,unknown_0
Alice in Chains,Rock Band,instance_of,Type of music group,unknown_0
Dirt,Billboard 200,peaked_at,Reached a certain ranking on the chart,unknown_0
Dirt,RIAA,certified_by,Received certification from the RIAA,unknown_0
Mike Starr,Alice in Chains,member_of,Was a member of the band,unknown_0
January 1993,Mike Starr,occurred,Date of Mike Starr's termination,unknown_0
Uncle Charlie,Charlie Wilson,created_by,Album created by Charlie Wilson,unknown_0
Uncle Charlie,Album,instance_of,Album instance,unknown_0
Gregg Pagani,Uncle Charlie,produced,Gregg Pagani produced Uncle Charlie,unknown_0
The Underdogs,Uncle Charlie,produced,The Underdogs produced Uncle Charlie,unknown_0
Bigg D,Uncle Charlie,produced,Bigg D produced Uncle Charlie,unknown_0
T-Pain,Uncle Charlie,featured_on,T-Pain featured on Uncle Charlie,unknown_0
Snoop Dogg,Uncle Charlie,featured_on,Snoop Dogg featured on Uncle Charlie,unknown_0
Jamie Foxx,Uncle Charlie,featured_on,Jamie Foxx featured on Uncle Charlie,unknown_0
Uncle Charlie,Chart,performed_on,Uncle Charlie performed on the chart,unknown_0
Uncle Charlie,Album,debuted_at,Uncle Charlie debuted at number two on the Billboard 200,unknown_0
Hate to Feel,Alice in Chains,performed_by,song performed by Alice in Chains,unknown_0
Hate to Feel,Dirt,included_on,song included on album Dirt,unknown_0
Hate to Feel,Music Bank,included_on,song included on compilation album Music Bank,unknown_0
Hate to Feel,The Essential Alice in Chains,included_on,song included on compilation album The Essential Alice in Chains,unknown_0
Dirt,Hate to Feel,contains,album contains song Hate to Feel,unknown_0
Dirt,Iron Gland,merges_with,album Dirt merges song Hate to Feel with unlisted track Iron Gland,unknown_0
Mocean 8,Dan McQueen,member,Dan McQueen is a member of Mocean 8,unknown_0
Mocean 8,Jim Corcoran,member,Jim Corcoran is a member of Mocean 8,unknown_0
Mocean 8,Mike Hartman,member,Mike Hartman is a member of Mocean 8,unknown_0
Mocean 8,Justin Corcoran,member,Justin Corcoran is a member of Mocean 8,unknown_0
Dan McQueen,Jim Corcoran,cousin,Dan McQueen and Jim Corcoran are cousins,unknown_0
Jim Corcoran,Dan McQueen,cousin,Dan McQueen and Jim Corcoran are cousins,unknown_0
Jim Corcoran,Mike Hartman,uncle,Jim Corcoran is the uncle of Mike Hartman,unknown_0
Justin Corcoran,Dan McQueen,cousin,Justin Corcoran and Dan McQueen are cousins,unknown_0
Justin Corcoran,Jim Corcoran,brother,Justin Corcoran and Jim Corcoran are brothers,unknown_0
Jim Corcoran,Justin Corcoran,brother,Justin Corcoran and Jim Corcoran are brothers,unknown_0
In the Mountain in the Cloud,Portugal. The Man,product,album released by Portugal. The Man,unknown_0
In the Mountain in the Cloud,John Hill,producer,music producer involved in album production,unknown_0
In the Mountain in the Cloud,John Gourley,frontman,Portugal. The Man's frontman involved in album production,unknown_0
In the Mountain in the Cloud,Casey Bates,producer,music producer involved in album production,unknown_0
In the Mountain in the Cloud,Atlantic Records,release,album released through Atlantic Records,unknown_0
Modest Mouse,Isaac Brock,member,lead singer/guitarist,unknown_0
Modest Mouse,Jeremiah Green,member,drummer,unknown_0
Modest Mouse,Eric Judy,member,bassist,unknown_0
Modest Mouse,Pavement,influence,strongly influenced by,unknown_0
Modest Mouse,Pixies,influence,strongly influenced by,unknown_0
Modest Mouse,XTC,influence,strongly influenced by,unknown_0
Modest Mouse,Talking Heads,influence,strongly influenced by,unknown_0
Modest Mouse,K Records,label,signed with,unknown_0
Modest Mouse,Portland,location,currently based in,unknown_0
Modest Mouse,Seattle,origin,formed in suburb of,unknown_0
Portugal. The Man,John Gourley,member,John Gourley is a member of Portugal. The Man,unknown_0
Portugal. The Man,Zach Carothers,member,Zach Carothers is a member of Portugal. The Man,unknown_0
Portugal. The Man,Kyle O'Quin,member,Kyle O'Quin is a member of Portugal. The Man,unknown_0
Portugal. The Man,Jason Sechrist,member,Jason Sechrist is a member of Portugal. The Man,unknown_0
Portugal. The Man,Eric Howk,member,Eric Howk is a member of Portugal. The Man,unknown_0
Portugal. The Man,Wasilla,formed_in,"Portugal. The Man was formed in Wasilla, Alaska",unknown_0
Portugal. The Man,Discography,has,Portugal. The Man has a discography,unknown_0
Discography,Studio albums,includes,A discography includes studio albums,unknown_0
Discography,Extended plays,includes,A discography includes extended plays,unknown_0
Discography,Singles,includes,A discography includes singles,unknown_0
Portugal. The Man,You Vultures!,debut album,You Vultures! is the debut full length album by Portugal. The Man,unknown_0
John Gourley,Portugal. The Man,lead singer,John Gourley is the lead singer of Portugal. The Man,unknown_0
Portugal. The Man,Anatomy of a Ghost,previous band,John Gourley left Anatomy of a Ghost to form Portugal. The Man,unknown_0
You Vultures!,The Satanic Satanist,preceded by,You Vultures! is the only album before The Satanic Satanist to use electronic drums and synthesizers,unknown_0
You Vultures!,Electronic drums and synthesizers,uses,You Vultures! uses a heavy amount of electronic drums and synthesizers,unknown_0
Portugal. The Man,Experimental rock,genre,Portugal. The Man is an experimental rock band,unknown_0
Studdogs,punk,genre,music genre,unknown_0
Studdogs,blues rock,genre,music genre,unknown_0
Studdogs,garage rock,genre,music genre,unknown_0
Studdogs,noise rock,genre,music genre,unknown_0
Studdogs,Orlando,location,city in Florida,unknown_0
Studdogs,Florida,location,state in the US,unknown_0
Rich Evans,Mutiny Productions,founder,concert promotion company,unknown_0
Rich Evans,Florida's Dying,founder,independent record label,unknown_0
Kyle Justin,Studdogs,member,musician and drummer,unknown_0
Jason,Studdogs,former member,musician and former drummer,unknown_0
Eric Gebhardt,Studdogs,former member,musician and former member,unknown_0
Eric Gebhardt,Red Mouth,project,solo music project,unknown_0
Stooges,Dead Boys,influence,rock band,unknown_0
Stooges,music genre,genre,music genre,unknown_0
Dead Boys,music genre,genre,music genre,unknown_0
Howling Wolf,music genre,influence,music genre,unknown_0
Demolition Doll Rods,touring,touring,rock band,unknown_0
Bob Log III,touring,touring,musician,unknown_0
The Fleshtones,touring,touring,rock band,unknown_0
John Baldwin Gourley,Portugal. The Man,lead singer and guitarist,John Baldwin Gourley is the lead singer and guitarist of Portugal. The Man,unknown_0
John Baldwin Gourley,Anatomy of a Ghost,former lead singer,John Baldwin Gourley was the former lead singer of Anatomy of a Ghost,unknown_0
John Baldwin Gourley,The Fantastic The,alias,The Fantastic The is an alias of John Baldwin Gourley,unknown_0
John Baldwin Gourley,Alaska,birthplace,John Baldwin Gourley was born in Alaska,unknown_0
John Baldwin Gourley,"Portland, Oregon",residence,"John Baldwin Gourley resides in Portland, Oregon",unknown_0
Portugal. The Man,John Gourley,member,John Gourley is a member of Portugal. The Man,unknown_0
Portugal. The Man,Zach Carothers,member,Zach Carothers is a member of Portugal. The Man,unknown_0
Portugal. The Man,Kyle O'Quin,member,Kyle O'Quin is a member of Portugal. The Man,unknown_0
Portugal. The Man,Jason Sechrist,member,Jason Sechrist is a member of Portugal. The Man,unknown_0
Portugal. The Man,Eric Howk,member,Eric Howk is a member of Portugal. The Man,unknown_0
Portugal. The Man,Wasilla High School,origin,Portugal. The Man originated at Wasilla High School,unknown_0
Portugal. The Man,Fearless Records,released on,Portugal. The Man released their first two albums on Fearless Records,unknown_0
Portugal. The Man,Atlantic Records,signed to,"Portugal. The Man signed to Atlantic Records on April 2, 2010",unknown_0
The Satanic Satanist,Portugal. The Man,is_album_of,The Satanic Satanist is an album by Portugal. The Man,unknown_0
The Satanic Satanist,John Gourley,has_artist,The Satanic Satanist features artwork by John Gourley,unknown_0
Portugal. The Man,John Gourley,has_member,John Gourley is a member of Portugal. The Man,unknown_0
Album Artwork,Photographs,includes,Album artwork may include photographs,unknown_0
Album Artwork,Watercolor Illustrations,includes,Album artwork may include watercolor illustrations,unknown_0
Hutch Harris,The Thermals,member,Hutch Harris is the lead guitarist/vocalist of The Thermals,unknown_0
Hutch Harris,Forbidden Friends,alias,Hutch Harris writes and performs under the name Forbidden Friends,unknown_0
The Thermals,Portland,location,"The Thermals is a Portland, Oregon rock band",unknown_0
The Thermals,Oregon,location,The Thermals is a rock band from Oregon,unknown_0
Anu Namshir,Miss Mongolia,won,Anu Namshir won the Miss Mongolia title,unknown_0
Anu Namshir,World Bikini Model International,crowned,Anu Namshir was crowned as World Bikini Model International 1st runner up,unknown_0
Anu Namshir,Miss Manzhouli,won,Anu Namshir won the Miss Manzhouli title,unknown_0
Anu Namshir,Asian Star Model,crowned,Anu Namshir was crowned as Asian Star Model,unknown_0
Anu Namshir,Supermodel International,crowned,Anu Namshir was crowned as Supermodel International,unknown_0
Anu Namshir,Miss World Mongolia,crowned,Anu Namshir was crowned as Miss World Mongolia,unknown_0
Anu Namshir,Miss World,represented,Anu Namshir represented Mongolia in the Miss World 2015,unknown_0
Anu Namshir,Miss Tourism Queen International,crowned,Anu Namshir was crowned as Miss Tourism Queen International,unknown_0
Anu Namshir,Mongolian Designers Association,participated,Anu Namshir participated in the Goyol event organized by Mongolian Designers Association,unknown_0
Anu Namshir,Goyol,awarded,Anu Namshir was awarded Photo Model in the Goyol event,unknown_0
Anu Namshir,Mongolia's Next Top Model,represented,Anu Namshir represented Z24 online ticket reservation in the Mongolia's Next Top Model show,unknown_0
Walter Payton,Walter Payton NFL Man of the Year award,recipient,Walter Payton was the first recipient of the award,unknown_0
Walter Payton NFL Man of the Year award,National Football League,presented_by,The award is presented annually by the NFL,unknown_0
Walter Payton NFL Man of the Year award,NFL Man of the Year Award,predecessor,The award was previously known as the NFL Man of the Year Award,unknown_0
Connie Payton,Walter Payton,spouse,Connie Payton was the wife of Walter Payton,unknown_0
Commissioner of the NFL,Walter Payton NFL Man of the Year award,judge,The Commissioner of the NFL is a member of the panel that selects the winner,unknown_0
Chicago Bears,Walter Payton,team,Walter Payton played for the Chicago Bears,unknown_0
Kansas City Chiefs,Walter Payton NFL Man of the Year award,winner,The Kansas City Chiefs have had more winners of the award than any other team,unknown_0
Eli Manning,Walter Payton NFL Man of the Year award,winner,Eli Manning was a winner of the award in 2016,unknown_0
Larry Fitzgerald,Walter Payton NFL Man of the Year award,winner,Larry Fitzgerald was a winner of the award in 2016,unknown_0
Carole Dieschbourg,Luxembourg,representative,Carole Dieschbourg represents Luxembourg,unknown_0
Carole Dieschbourg,politician,instance_of,Carole Dieschbourg is a politician,unknown_0
Carole Dieschbourg,writer,instance_of,Carole Dieschbourg is a writer,unknown_0
Carole Dieschbourg,Minister for the Environment,holds_position,Carole Dieschbourg holds the position of Minister for the Environment,unknown_0
Carole Dieschbourg,COP22 Climate Change Conference,attended,Carole Dieschbourg attended the COP22 Climate Change Conference,unknown_0
COP22 Climate Change Conference,Marrakesh,location,The COP22 Climate Change Conference was held in Marrakesh,unknown_0
COP22 Climate Change Conference,Climate Change,topic,The COP22 Climate Change Conference was about climate change,unknown_0
Carole Dieschbourg,Green Party,member,Carole Dieschbourg is a member of the Green Party,unknown_0
Green Party,Luxembourg,affiliated_with,The Green Party is affiliated with Luxembourg,unknown_0
Democratic Party,Luxembourg,affiliated_with,The Democratic Party is affiliated with Luxembourg,unknown_0
Luxembourg Socialist Workers' Party,Luxembourg,affiliated_with,The Luxembourg Socialist Workers' Party is affiliated with Luxembourg,unknown_0
Jérôme d'Ambrosio,Marussia Virgin Racing,driver,Jérôme d'Ambrosio drove for Marussia Virgin Racing,unknown_0
Romain Grosjean,Marussia Virgin Racing,driver,Romain Grosjean drove for Marussia Virgin Racing,unknown_0
Jérôme d'Ambrosio,Formula E,competitor,Jérôme d'Ambrosio competes in Formula E,unknown_0
Dragon Racing,Formula E,team,Dragon Racing competes in Formula E,unknown_0
Lucas di Grassi,Dragon Racing,driver,Lucas di Grassi drives for Dragon Racing,unknown_0
Jérôme d'Ambrosio,Lucas di Grassi,rival,Jérôme d'Ambrosio and Lucas di Grassi are rivals in Formula E,unknown_0
Jérôme d'Ambrosio,2011 Formula One World Championship,participant,Jérôme d'Ambrosio participated in the 2011 Formula One World Championship,unknown_0
Jérôme d'Ambrosio,2012 Italian Grand Prix,participant,Jérôme d'Ambrosio participated in the 2012 Italian Grand Prix,unknown_0
Jérôme d'Ambrosio,2015 Berlin ePrix,winner,Jérôme d'Ambrosio won the 2015 Berlin ePrix,unknown_0
Jérôme d'Ambrosio,2016 Mexican ePrix,winner,Jérôme d'Ambrosio won the 2016 Mexican ePrix,unknown_0
2016 Marrakesh ePrix,Formula E,part_of,The 2016 Marrakesh ePrix was a part of the 2016-17 Formula E season,unknown_0
2016 Marrakesh ePrix,Circuit Moulay El Hassan,location,The 2016 Marrakesh ePrix was held at the Circuit Moulay El Hassan,unknown_0
2016 Marrakesh ePrix,Marrakesh,location,"The 2016 Marrakesh ePrix was held in Marrakesh, Morocco",unknown_0
2016 Marrakesh ePrix,Morocco,location,The 2016 Marrakesh ePrix was held in Morocco,unknown_0
Sébastien Buemi,e.Dams-Renault,member,Sébastien Buemi is a driver for the e.Dams-Renault team,unknown_0
Sébastien Buemi,Formula E,part_of,Sébastien Buemi is a driver in the Formula E series,unknown_0
Sam Bird,Virgin,member,Sam Bird is a driver for the Virgin team,unknown_0
Sam Bird,Formula E,part_of,Sam Bird is a driver in the Formula E series,unknown_0
Felix Rosenqvist,Mahindra,member,Felix Rosenqvist is a driver for the Mahindra team,unknown_0
Felix Rosenqvist,Formula E,part_of,Felix Rosenqvist is a driver in the Formula E series,unknown_0
BBC Sports Personality of the Year Award,Genting Arena,took place at,The 2016 BBC Sports Personality of the Year Award took place at the Genting Arena in Birmingham,unknown_0
BBC Sports Personality of the Year Award,BBC,presented by,The BBC presents the Sports Personality of the Year Award,unknown_0
BBC Sports Personality of the Year Award,Sports Personality of the Year,category of,The Sports Personality of the Year Award is a category of awards recognizing British sporting achievements,unknown_0
Andy Murray,BBC Sports Personality of the Year Award,winner of,Andy Murray won the 2016 BBC Sports Personality of the Year Award,unknown_0
Tennis,Andy Murray,related to,Andy Murray is a tennis player,unknown_0
Sébastien Olivier Buemi,Scuderia Toro Rosso,former competitor,Competed for Scuderia Toro Rosso in Formula One,unknown_0
Sébastien Olivier Buemi,Red Bull Racing,reserve driver,Reserve driver for Red Bull Racing,unknown_0
Sébastien Olivier Buemi,Toyota,member,Member of Toyota's FIA World Endurance Championship squad,unknown_0
Sébastien Olivier Buemi,e.dams Renault,member,Member of e.dams Renault in the FIA Formula E Championship,unknown_0
Sébastien Olivier Buemi,Anthony Davidson,teammate,Teammate in the FIA World Endurance Championship,unknown_0
Sébastien Olivier Buemi,FIA World Endurance Championship,champion,World Champion in the LMP1 class of the FIA World Endurance Championship,unknown_0
Sébastien Olivier Buemi,Formula E Championship,champion,Won the second ever Formula E championship,unknown_0
Lucas Tucci di Grassi,Audi Sport ABT,competes for,Lucas Tucci di Grassi competes for Audi Sport ABT in Formula E,unknown_0
Lucas Tucci di Grassi,Formula E,competes in,Lucas Tucci di Grassi competes in Formula E,unknown_0
Lucas Tucci di Grassi,World Champion,title holder,Lucas Tucci di Grassi is the 2016-17 World Champion,unknown_0
Lucas Tucci di Grassi,Beijing ePrix,winner,Lucas Tucci di Grassi won the 2014 Beijing ePrix,unknown_0
Lucas Tucci di Grassi,GP2 Series,runner-up,Lucas Tucci di Grassi was runner-up in the 2007 GP2 Series,unknown_0
Lucas Tucci di Grassi,FIA Formula E,runner-up,Lucas Tucci di Grassi was runner-up in the 2015-16 FIA Formula E,unknown_0
Lucas Tucci di Grassi,FIA World Endurance Championship,runner-up,Lucas Tucci di Grassi was runner-up in the 2016 FIA World Endurance Championship,unknown_0
Lucas Tucci di Grassi,Virgin Racing,drove for,Lucas Tucci di Grassi drove for Virgin Racing in the 2010 Formula One season,unknown_0
BBC Sports Personality of the Year Award,BBC Sports Personality of the Year ceremony,awarded_at,the award is given at the ceremony,unknown_0
Public vote,BBC Sports Personality of the Year Award,selects,the public vote selects the award winner,unknown_0
Sportsperson,BBC Sports Personality of the Year Award,recipient,the sportsperson is the recipient of the award,unknown_0
Andy Murray,BBC Sports Personality of the Year Award,winner,Andy Murray won the award in 2016,unknown_0
United Kingdom,BBC Sports Personality of the Year Award,residence,the winner must reside and play a significant amount of their sport in the United Kingdom,unknown_0
December,BBC Sports Personality of the Year ceremony,takes_place_in,the ceremony takes place in December,unknown_0
2016,BBC Sports Personality of the Year Award,won_in,the award was won in 2016,unknown_0
FPAI Indian Player of the Year,Indian football,related_to,Award is given for excellence in Indian football,unknown_0
FPAI Indian Player of the Year,Football Players' Association of India,given_by,Award is presented by the Football Players' Association of India,unknown_0
Sunil Chhetri,FPAI Indian Player of the Year,winner_of,Sunil Chhetri was the first winner of the award,unknown_0
Anas Edathodika,FPAI Indian Player of the Year,winner_of,Anas Edathodika was the recent winner of the award,unknown_0
Anas Edathodika,Mohun Bagan,member_of,Anas Edathodika plays for Mohun Bagan,unknown_0
Anas Edathodika,Indian national team,member_of,Anas Edathodika is a member of the Indian national team,unknown_0
Seoul Station,Yeon Sang-ho,director,Yeon Sang-ho directed Seoul Station,unknown_0
Seoul Station,Ryu Seung-ryong,actor,Ryu Seung-ryong starred in Seoul Station,unknown_0
Seoul Station,Shim Eun-kyung,actor,Shim Eun-kyung starred in Seoul Station,unknown_0
Seoul Station,Lee Joon,actor,Lee Joon starred in Seoul Station,unknown_0
Seoul Station,2016 Edinburgh International Film Festival,exhibited_at,Seoul Station was shown at the 2016 Edinburgh International Film Festival,unknown_0
Seoul Station,"August 18, 2016",released_on,"Seoul Station was released on August 18, 2016",unknown_0
Cafe Noir,Shin Ha-kyun,starring,Shin Ha-kyun stars in Cafe Noir,unknown_0
Cafe Noir,Moon Jeong-hee,starring,Moon Jeong-hee stars in Cafe Noir,unknown_0
Cafe Noir,Kim Hye-na,starring,Kim Hye-na stars in Cafe Noir,unknown_0
Cafe Noir,Jung Yu-mi,starring,Jung Yu-mi stars in Cafe Noir,unknown_0
Cafe Noir,Jung Sung-il,directed_by,Jung Sung-il directed Cafe Noir,unknown_0
Cafe Noir,Johann Wolfgang von Goethe,inspired_by,Cafe Noir is inspired by The Sorrows of Young Werther,unknown_0
Cafe Noir,Fyodor Dostoyevsky,inspired_by,Cafe Noir is inspired by White Nights,unknown_0
Cafe Noir,Venice Film Festival,debuted_at,Cafe Noir debuted at the 66th Venice Film Festival,unknown_0
Cafe Noir,Copenhagen International Film Festival,nominated_for,Jung Sung-il was nominated for New Talent Grand Pix at the 2010 Copenhagen International Film Festival,unknown_0
Psychokinesis,Yeon Sang-ho,director,directed by,unknown_0
Psychokinesis,Ryu Seung-ryong,actor,stars,unknown_0
Psychokinesis,Shim Eun-kyung,actress,stars,unknown_0
Psychokinesis,Park Jung-min,actor,stars,unknown_0
Psychokinesis,Kim Min-jae,actor,stars,unknown_0
Psychokinesis,Jung Yu-mi,actress,stars,unknown_0
Psychokinesis,South Korea,location,set in,unknown_0
Yeon Sang-ho,Train to Busan,director,Directed the film,unknown_0
Gong Yoo,Train to Busan,actor,Starred in the film,unknown_0
Jung Yu-mi,Train to Busan,actress,Starred in the film,unknown_0
Ma Dong-seok,Train to Busan,actor,Starred in the film,unknown_0
Zombie apocalypse,Train to Busan,theme,The film is set during a zombie apocalypse,unknown_0
Zombies,Zombie apocalypse,cause,The zombies are the cause of the apocalypse,unknown_0
Train to Busan,Busan,destination,The train is headed to Busan,unknown_0
Train to Busan,Train,mode_of_transportation,The film takes place on a train,unknown_0
Fake,Yeon Sang-ho,created_by,Yeon Sang-ho wrote and directed the film,unknown_0
Fake,film,instance_of,Fake is an example of a film,unknown_0
Yeon Sang-ho,South Korea,from,Yeon Sang-ho is from South Korea,unknown_0
Fake,South Korea,set_in,The film is set in South Korea,unknown_0
film,animation,instance_of,Film is an example of animation,unknown_0
Yeon Sang-ho,The King of Pigs,created,Yeon Sang-ho wrote and directed The King of Pigs,unknown_0
Yeon Sang-ho,The Fake,created,Yeon Sang-ho wrote and directed The Fake,unknown_0
Yeon Sang-ho,Train to Busan,created,Yeon Sang-ho wrote and directed Train to Busan,unknown_0
Yeon Sang-ho,film director,instance_of,Yeon Sang-ho is a film director,unknown_0
Yeon Sang-ho,screenwriter,instance_of,Yeon Sang-ho is a screenwriter,unknown_0
Kim Yool-ho,The Map Against the World,acted_in,Kim Yool-ho played the role of Prince Geumwi in The Map Against the World,unknown_0
Kim Yool-ho,Train to Busan,acted_in,Kim Yool-ho played the role of man in suit 2 in Train to Busan,unknown_0
The Map Against the World,Prince Geumwi,character,Prince Geumwi is a character in The Map Against the World,unknown_0
Train to Busan,man in suit 2,character,man in suit 2 is a character in Train to Busan,unknown_0
Kim Yool-ho,actor,is,Kim Yool-ho is an actor,unknown_0
Kim Yool-ho,model,is,Kim Yool-ho is a model,unknown_0
The Crucible,Gong Ji-young,based on,The film is based on the novel by Gong Ji-young,unknown_0
The Crucible,Gong Yoo,starring,Gong Yoo stars in the film,unknown_0
The Crucible,Jung Yu-mi,starring,Jung Yu-mi stars in the film,unknown_0
The Crucible,Gwangju Inhwa School,based on,The film is based on actual events that took place at Gwangju Inhwa School,unknown_0
Gwangju Inhwa School,sexual assaults,victim of,The students at Gwangju Inhwa School were victims of repeated sexual assaults,unknown_0
The King of Pigs,Yeon Sang-ho,director,Directed by,unknown_0
The King of Pigs,Busan International Film Festival,awarded,Won awards at,unknown_0
The King of Pigs,Cannes Film Festival,screened,Screened at,unknown_0
The King of Pigs,True story,based_on,Based on true events,unknown_0
The King of Pigs,Animated drama film,genre,Film genre,unknown_0
Top Gear Korea,BBC,adaptation,South Korean adaptation of BBC's Top Gear,unknown_0
Top Gear Korea,Season 1,includes,First season of Top Gear Korea,unknown_0
Top Gear Korea,Kim Jin-pyo,presenter,Singer and professional driver,unknown_0
Top Gear Korea,Yeon Jung-hoon,presenter,South Korean actor,unknown_0
Top Gear Korea,Kim Kap-soo,presenter,South Korean actor,unknown_0
Top Gear Korea,XTM,broadcasts,Cable channel in South Korea,unknown_0
Announcement,Top Gear Korea,announces,Official announcement of Top Gear Korea,unknown_0
